Date,Time,Open,High,Low,Close,Volume
2022.02.01,00:00,1797.51,1974.52,1788.66,1908.26,2363392
2022.03.01,00:00,1908.30,2070.30,1890.02,1936.88,2671908
2022.04.01,00:00,1937.15,1998.43,1872.04,1896.42,2329689
2022.05.01,00:00,1899.29,1909.77,1786.84,1838.26,2350835
2022.06.01,00:00,1836.74,1878.78,1802.75,1807.16,2070670
2022.07.01,00:00,1806.65,1814.26,1680.84,1766.02,2241006
2022.08.01,00:00,1765.17,1807.87,1709.57,1710.53,2409151
2022.09.01,00:00,1711.11,1735.13,1614.81,1660.83,2840516
2022.10.01,00:00,1664.30,1729.49,1617.29,1633.68,2983497
2022.11.01,00:00,1632.58,1786.57,1616.72,1768.32,3169286
2022.12.01,00:00,1769.78,1833.63,1765.85,1819.48,2913788
2023.01.01,00:00,1827.53,1949.09,1823.52,1928.06,3016824
2023.02.01,00:00,1927.46,1959.68,1804.69,1827.11,2701585
2023.03.01,00:00,1826.78,2009.80,1809.41,1969.30,3563554
2023.04.01,00:00,1966.26,2048.67,1949.76,1989.66,2822473
2023.05.01,00:00,1989.84,2062.90,1932.05,1963.04,3159796
2023.06.01,00:00,1963.31,1983.48,1892.95,1918.99,2712606
2023.07.01,00:00,1918.54,1987.43,1902.59,1965.57,2967785
2023.08.01,00:00,1965.64,1965.98,1884.81,1939.87,2791700
2023.09.01,00:00,1939.97,1953.02,1846.33,1848.99,2386985
2023.10.01,00:00,1847.39,2009.47,1810.47,1983.79,3979518
2023.11.01,00:00,1983.65,2051.99,1931.60,2035.99,2870359
2023.12.01,00:00,2036.82,2151.11,1973.00,2062.03,7330142
2024.01.01,00:00,2062.70,2078.83,2001.74,2039.04,8080598
2024.02.01,00:00,2039.70,2065.34,1984.16,2044.03,5839351
2024.03.01,00:00,2043.39,2236.02,2039.00,2233.59,7493831
2024.04.01,00:00,2239.60,2431.46,2228.45,2285.94,13993371
2024.05.01,00:00,2286.26,2450.01,2277.17,2326.79,11046302
2024.06.01,00:00,2327.45,2387.66,2286.71,2326.09,9323428
2024.07.01,00:00,2326.77,2483.66,2318.45,2447.34,12204292
2024.08.01,00:00,2447.78,2531.62,2364.22,2502.54,13869126
2024.09.01,00:00,2503.36,2600.00,2471.82,2592.29,6962340
